Cancer_Pair,Interaction_ID,Gene1,Gene2
HNSC_vs_STAD,ELFN1-AS1_HOXC-AS2,ELFN1-AS1,HOXC-AS2
HNSC_vs_STAD,EN2_FEZF1,EN2,FEZF1
HNSC_vs_STAD,EN2_FEZF1-AS1,EN2,FEZF1-AS1
HNSC_vs_STAD,EN2_TRPM2-AS,EN2,TRPM2-AS
HNSC_vs_STAD,EN2_ZIC5,EN2,ZIC5
HNSC_vs_STAD,FAP_SCARA5,FAP,SCARA5
HNSC_vs_STAD,FAP_TNXB,FAP,TNXB
HNSC_vs_STAD,FEZF1_TRPM2-AS,FEZF1,TRPM2-AS
HNSC_vs_STAD,FEZF1_ZIC2,FEZF1,ZIC2
HNSC_vs_STAD,FEZF1_ZIC5,FEZF1,ZIC5
HNSC_vs_STAD,GRIN2D_HOXC11,GRIN2D,HOXC11
HNSC_vs_STAD,GRIN2D_TRPM2-AS,GRIN2D,TRPM2-AS
HNSC_vs_STAD,GRIN2D_ZIC2,GRIN2D,ZIC2
HNSC_vs_STAD,GRIN2D_ZIC5,GRIN2D,ZIC5
HNSC_vs_STAD,HMGA2_VSIG2,HMGA2,VSIG2
HNSC_vs_STAD,HOXA11_HOXB9,HOXA11,HOXB9
HNSC_vs_STAD,HOXA11_IGKV2-29,HOXA11,IGKV2-29
HNSC_vs_STAD,HOXA11_LINC02086,HOXA11,LINC02086
HNSC_vs_STAD,HOXA11_LINC02577,HOXA11,LINC02577
HNSC_vs_STAD,HOXB9_LINC02577,HOXB9,LINC02577
HNSC_vs_STAD,HOXC11_TRPM2-AS,HOXC11,TRPM2-AS
HNSC_vs_STAD,HOXC11_ZIC2,HOXC11,ZIC2
HNSC_vs_STAD,HOXC11_ZIC5,HOXC11,ZIC5
HNSC_vs_STAD,HTRA4_LINC02321,HTRA4,LINC02321
HNSC_vs_STAD,MMP3_TERT,MMP3,TERT
HNSC_vs_STAD,SCARA5_WNT2,SCARA5,WNT2
HNSC_vs_STAD,TNXB_WNT2,TNXB,WNT2
HNSC_vs_STAD,TRPM2-AS_ZIC5,TRPM2-AS,ZIC5
